iyear,marketcap_mean,marketcap_std,marketcap_total,len
1980,4.811464285714286,8.344033048168528,33.68025,7.0
1981,98.91651315789473,446.32816637353426,3758.8274999999994,38.0
1982,20.734206307692308,29.667696779313804,808.634046,39.0
1983,59.20790210526319,181.91624544048705,2249.900280000001,38.0
1984,311.99044647499994,1318.8241952601597,12479.617858999998,40.0
1985,352.93272212499994,1457.5038168125177,14117.308884999999,40.0
1986,189.53725333333335,760.2839828284075,7391.952880000001,39.0
1987,566.7475056750002,2501.3612149979635,22669.900227000006,40.0
1988,538.9128304523811,2955.399350388013,22634.338879000003,42.0
1989,90.73396475609755,185.14333571227783,3720.0925549999993,41.0
1990,89.34393137250001,177.85249772765704,3573.7572549000006,40.0
1991,48.66645861794871,107.04786512552526,1897.9918860999999,39.0
1992,118.51481870000002,361.4546977168807,4740.592748000001,40.0
1993,112.16286559523807,290.52827608959836,4710.840354999999,42.0
1994,130.38432648076923,277.73596949625755,6779.984977,52.0
1995,178.37815729090903,441.44646864317946,9810.798650999997,55.0
1996,519.4307326785715,1519.2996513065789,29088.121030000006,56.0
1997,296.0345716551724,952.816569928146,17170.005156,58.0
1998,222.35087692105273,818.7812276674598,12673.999984500006,57.0
1999,83.54139733962265,155.68061656052373,4427.694059,53.0
2000,324.93911546862756,717.9036407690003,16571.894888900006,51.0
2001,220.44957081521747,447.9867092932833,10140.680257500004,46.0
2002,380.37887152195134,1229.3039329058984,15595.533732400005,41.0
2003,245.30751415,566.3096563364927,9812.300566,40.0
2004,1078.32204445,1985.941491390314,43132.881778,40.0
2005,2168.9226271951225,3738.957597790897,88925.82771500002,41.0
2006,4649.50632375,13754.43498496447,185980.25295,40.0
2007,4219.217017651282,7984.768488506796,164549.4636884,39.0
2008,924.5417531756757,1131.5903075801934,34208.0448675,37.0
2009,1423.1314380606063,3547.3362810554813,46963.33745600001,33.0
2010,1203.2447993750002,4599.177985642243,38503.833580000006,32.0
2011,806.4351555882354,1637.2127415599032,27418.795290000002,34.0
2012,1701.801462818181,5803.020572254993,56159.44827299998,33.0
2013,973.8433469375002,2096.430598552008,31162.987102000006,32.0
2014,1945.7782114375,5016.625291405674,62264.902766,32.0
2015,1356.1558989625003,2562.1257662926405,43396.98876680001,32.0
2016,232.54956499999997,232.6522943592013,465.09912999999995,2.0
