,fyear,iyear,ticker,PERMNO,cusip,gsector,gind,market_value,roic,ev_ebitda,quantile_roic,quantile_ev_ebitda
3902,1979,1980,AMZ.1,13283,027258102,25.0,254010.0,1.6995,0.21228710462287106,0.4603274559193954,10,1
5809,1979,1980,3APOIE,29153,037609104,20.0,201030.0,3.6630000000000003,0.1815723211787746,1.3037180106228874,10,1
6980,1979,1980,2875B,15705,049080104,25.0,254010.0,0.027,0.17759890392190444,-1.8689809630459127,10,1
9117,1979,1980,GPEC,16994,401563101,25.0,254010.0,23.572499999999998,0.3335132218024824,1.1369142760999411,10,1
30261,1979,1980,FDLB.,34279,307362103,35.0,352020.0,1.983,0.19635234769111368,1.385400313971743,10,1
57398,1979,1980,NMCN,56515,636890105,,,1.6380000000000001,0.17867661496171217,1.0475617098133654,10,1
66715,1979,1980,PRGS.,64398,743328205,,,1.09725,0.2514746972989755,1.0482,10,1
30262,1980,1981,FDLB.,34279,307362103,35.0,352020.0,3.2474999999999996,0.2861930294906166,1.6566408576533649,10,1
44852,1980,1981,3ACDGE,22940,02520G101,25.0,252010.0,13.362,0.15763390556238355,0.8849441157133465,10,1
45939,1980,1981,KENN,47459,489777102,40.0,404010.0,53.979000000000006,0.2155902508404448,1.648613828315122,10,1
49883,1980,1981,LGL,33849,50186A108,45.0,452030.0,11.944625,0.1764163979732842,1.899927650618258,10,1
49918,1980,1981,LYND,50308,551277106,20.0,203040.0,11.9985,0.22553445757535517,1.2555765372359258,10,1
89398,1980,1981,WHAM.,82721,962251104,,,5.61,0.1884257300042319,-0.0032378580323785557,10,1
89098,1980,1981,DHR1,22218,959090002,20.0,201060.0,105.70500000000001,0.24599991484651085,1.1721154440393053,10,1
83725,1980,1981,4485B,58333,903035103,25.0,255010.0,4.07,0.15414884516680924,0.9862365591397849,10,1
82149,1980,1981,TKA.,40221,890278104,25.0,252020.0,32.4675,0.3416142647945559,0.14224918507787015,10,1
72416,1980,1981,SCH.1,44791,806517207,,,26.291249999999998,0.23786969412104994,-2.7268875192604036,10,1
74449,1980,1981,SMKR,70747,828568105,20.0,201040.0,2.652,0.18687014108839622,1.1877394636015324,10,1
73353,1980,1981,3SEGA,69893,815790100,,,45.78,0.17974962723658053,1.3149143642955372,10,1
40896,1980,1981,MYAG,64004,589354406,20.0,201010.0,2.8015,0.22017900732302684,1.2746478873239435,10,1
63336,1980,1981,PAYC.1,61640,704327105,20.0,202010.0,3.168,0.1663632225762403,-4.590909090909091,10,1
63071,1980,1981,PI.4,54359,702860107,,,10.011875,0.1612570308065432,1.6966107382550337,10,1
61273,1980,1981,ORBT,59871,685559304,20.0,201040.0,3.696,0.25367847411444144,0.572033898305085,10,1
60273,1980,1981,OXY,34833,674599105,10.0,101020.0,2756.9809999999998,0.1533344223630521,1.3345319860957172,10,1
57678,1980,1981,NVLV,56814,638437103,,,24.648,0.23481357352325094,0.2576473994017178,10,1
80875,1980,1981,TSO,37284,881609101,10.0,101020.0,336.08625,0.23419200171021087,1.9709017135272113,10,1
37925,1980,1981,HAS,52978,418056107,25.0,252020.0,13.100000000000001,0.15047031424855578,0.556527909176916,10,1
34160,1980,1981,GCER.,56136,369325105,15.0,151020.0,3.62,0.17152996845425866,1.7474262182566915,10,1
36628,1980,1981,GREY,40097,39787M108,25.0,254010.0,35.496,0.16628626244583375,1.775169804831915,10,1
2946,1980,1981,ADSO.1,17670,023424104,,,16.578500000000002,0.28399064308285793,-12.619634703196345,10,1
3903,1980,1981,AMZ.1,13283,027258102,25.0,254010.0,2.6265,0.190054160512063,1.2034005037783375,10,1
6797,1980,1981,3ASTZ,15465,046465100,45.0,452030.0,7.742249999999999,0.22068008327550312,1.1639681005316578,10,1
