iyear,gsector,avg_market_value,total_market_value,count
1980,20.0,3.6630000000000003,3.6630000000000003,1.0
1980,25.0,8.433,25.299,3.0
1980,35.0,1.983,1.983,1.0
1981,10.0,1546.5336249999998,3093.0672499999996,2.0
1981,15.0,9.4991875,18.998375,2.0
1981,20.0,16.35277777777778,147.17500000000004,9.0
1981,25.0,20.918837500000002,209.188375,10.0
1981,35.0,3.2474999999999996,3.2474999999999996,1.0
1981,40.0,33.76775000000001,67.53550000000001,2.0
1981,45.0,9.8434375,19.686875,2.0
1981,55.0,20.398,20.398,1.0
1982,15.0,12.893458333333333,38.680375,3.0
1982,20.0,46.45628571428572,325.194,7.0
1982,25.0,13.182649428571429,92.278546,7.0
1982,30.0,35.781875,71.56375,2.0
1982,35.0,23.416875,46.83375,2.0
1982,40.0,10.66675,42.667,4.0
1982,45.0,3.2344166666666667,9.70325,3.0
1983,10.0,198.74764783333333,1192.485887,6.0
1983,15.0,19.24275,38.4855,2.0
1983,20.0,86.1701445,517.0208670000001,6.0
1983,25.0,23.453113636363636,257.98425,11.0
1983,30.0,65.208375,130.41675,2.0
1983,35.0,10.335,10.335,1.0
1983,40.0,3.951883666666667,11.855651,3.0
1983,45.0,3.052,3.052,1.0
1984,10.0,90.68900000000001,90.68900000000001,1.0
1984,15.0,79.92,79.92,1.0
1984,20.0,14.659027777777778,131.93125,9.0
1984,25.0,662.9968013888888,11933.942425,18.0
1984,30.0,16.2165,16.2165,1.0
1984,35.0,31.81575,31.81575,1.0
1984,40.0,11.8234835,47.293934,4.0
1984,45.0,25.436124999999997,50.872249999999994,2.0
1985,10.0,16.03725,48.11175,3.0
1985,20.0,90.52071875,1086.248625,12.0
1985,25.0,792.9659459375001,12687.455135000002,16.0
1985,30.0,87.03349999999999,174.06699999999998,2.0
1985,35.0,9.676875,9.676875,1.0
1985,40.0,30.864,30.864,1.0
1985,45.0,15.317374999999997,61.26949999999999,4.0
1986,10.0,24.925717666666667,74.777153,3.0
1986,15.0,5.87840625,23.513625,4.0
1986,20.0,81.5366817,815.3668170000001,10.0
1986,25.0,541.6708100000001,5958.37891,11.0
1986,30.0,65.178,65.178,1.0
1986,35.0,17.4225,17.4225,1.0
1986,40.0,86.96291666666667,260.88875,3.0
1986,45.0,29.404520833333333,176.427125,6.0
1987,15.0,74.4590956,372.295478,5.0
1987,20.0,7.277351833333333,43.664111,6.0
1987,25.0,1495.9147152142853,20942.806012999994,14.0
1987,30.0,8.53125,8.53125,1.0
1987,35.0,237.1831875,474.366375,2.0
1987,40.0,38.864650000000005,194.32325000000003,5.0
1987,45.0,90.55910714285714,633.91375,7.0
1988,15.0,34.526250000000005,34.526250000000005,1.0
1988,20.0,167.5849326923076,2178.604124999999,13.0
1988,25.0,1618.750318666667,19425.003824000003,12.0
1988,30.0,77.13749999999999,77.13749999999999,1.0
1988,35.0,495.30050000000006,495.30050000000006,1.0
1988,40.0,37.50731944444445,337.565875,9.0
1988,45.0,17.240161,86.200805,5.0
1989,10.0,68.6895,137.379,2.0
1989,15.0,329.3278125,1317.31125,4.0
1989,20.0,19.591124999999998,137.13787499999998,7.0
1989,25.0,52.432109375,419.456875,8.0
1989,30.0,17.445,17.445,1.0
1989,35.0,99.40175,99.40175,1.0
1989,40.0,115.713352875,925.706823,8.0
1989,45.0,66.6253982,666.2539820000001,10.0
1990,10.0,23.0457712,115.22885600000001,5.0
1990,15.0,295.03654166666666,885.109625,3.0
1990,20.0,15.055280571428572,105.386964,7.0
1990,25.0,159.78947615,958.7368569,6.0
1990,40.0,84.53622222222222,760.826,9.0
1990,45.0,74.8468953,748.468953,10.0
1991,10.0,15.7081875,94.24912499999999,6.0
1991,15.0,12.762336,25.524672,2.0
1991,20.0,15.1214,75.607,5.0
1991,25.0,90.67637123333334,816.0873411000001,9.0
1991,35.0,167.86975,167.86975,1.0
1991,40.0,70.58739266666667,423.524356,6.0
1991,45.0,31.406571333333325,282.6591419999999,9.0
1991,50.0,12.470500000000001,12.470500000000001,1.0
1992,10.0,11.875024666666667,35.625074,3.0
1992,15.0,15.053276,30.106552,2.0
1992,20.0,344.408802,2410.861614,7.0
1992,25.0,25.75380688888889,231.784262,9.0
1992,30.0,57.802513,115.605026,2.0
1992,35.0,243.055875,486.11175,2.0
1992,40.0,169.67910937500002,1357.4328750000002,8.0
1992,45.0,10.437942142857143,73.065595,7.0
1993,10.0,45.31066666666667,135.93200000000002,3.0
1993,15.0,34.0962385,68.192477,2.0
1993,20.0,48.5240844,242.620422,5.0
1993,25.0,61.2366051,612.366051,10.0
1993,30.0,22.024444333333335,66.073333,3.0
1993,35.0,44.895875000000004,89.79175000000001,2.0
1993,40.0,159.273810625,1274.190485,8.0
1993,45.0,246.85264855555553,2221.673837,9.0
1994,10.0,9.899625,19.79925,2.0
1994,15.0,13.037666666666667,39.113,3.0
1994,20.0,109.262025,546.310125,5.0
1994,25.0,29.824250000000003,89.47275,3.0
1994,40.0,189.66071622222222,5120.839338,27.0
1994,45.0,86.37548990909092,950.130389,11.0
1995,10.0,14.504000000000001,14.504000000000001,1.0
1995,15.0,108.00125,216.0025,2.0
1995,20.0,47.06180357142857,329.432625,7.0
1995,25.0,45.564319999999995,729.0291199999999,16.0
1995,35.0,197.55624999999998,592.6687499999999,3.0
1995,40.0,183.4340905,3301.8136289999998,18.0
1995,45.0,571.5067336666667,3429.0404020000005,6.0
1995,55.0,1188.2305000000001,1188.2305000000001,1.0
1996,10.0,63.592999999999996,63.592999999999996,1.0
1996,15.0,942.9932755,11315.919306,12.0
1996,20.0,22.562593125,180.500745,8.0
1996,25.0,55.896561818181816,614.86218,11.0
1996,35.0,9.554337,19.108674,2.0
1996,40.0,351.5012678571429,4921.017750000001,14.0
1996,45.0,1496.6399218750003,11973.119375000002,8.0
1997,10.0,50.27607883333334,301.656473,6.0
1997,15.0,427.06000000000006,427.06000000000006,1.0
1997,20.0,37.44994475,299.599558,8.0
1997,25.0,42.93662711111111,386.429644,9.0
1997,30.0,589.638875,589.638875,1.0
1997,35.0,5.83125,5.83125,1.0
1997,40.0,516.090341875,8257.44547,16.0
1997,45.0,458.38834239999994,6875.8251359999995,15.0
1998,10.0,43.70225000000001,87.40450000000001,2.0
1998,15.0,219.18019033333334,657.540571,3.0
1998,20.0,503.9980496923077,6551.974646,13.0
1998,25.0,48.26861314285714,337.880292,7.0
1998,30.0,33.9279375,67.855875,2.0
1998,35.0,164.235517,821.1775849999999,5.0
1998,40.0,338.735578,3387.35578,10.0
1998,45.0,50.85404903333333,762.8107355,15.0
1999,10.0,48.005937499999995,144.0178125,3.0
1999,15.0,42.185781250000005,84.37156250000001,2.0
1999,20.0,116.86855078125,1869.8968125,16.0
1999,25.0,56.2855962875,450.2847703,8.0
1999,30.0,108.3239375,324.9718125,3.0
1999,35.0,19.31096875,38.6219375,2.0
1999,40.0,169.81017500000002,849.0508750000001,5.0
1999,45.0,47.88865682307692,622.5525387,13.0
1999,50.0,43.9259375,43.9259375,1.0
2000,15.0,204.85333333333332,614.56,3.0
2000,20.0,292.81192410714294,4099.366937500001,14.0
2000,25.0,144.28227059166667,1731.3872471,12.0
2000,30.0,809.4783541666666,2428.4350624999997,3.0
2000,35.0,995.4130757166666,5972.4784543,6.0
2000,40.0,30.677137500000004,153.38568750000002,5.0
2000,45.0,196.5351875,1572.2815,8.0
2001,10.0,23.106375,23.106375,1.0
2001,15.0,136.7145,136.7145,1.0
2001,20.0,80.91675781250001,647.3340625000001,8.0
2001,25.0,104.80764583333334,943.2688125000001,9.0
2001,30.0,182.8899583333333,548.6698749999999,3.0
2001,35.0,10.964062499999999,21.928124999999998,2.0
